區別,里別,'08/03-08/09','08/10-08/16','08/17-08/23','08/24-08/30','08/31-09/06','09/07-09/13','09/14-09/20','09/21-09/27','09/28-10/04','10/05-10/11','10/12-10/18','10/19-10/25','10/26-11/01','11/02-11/08','11/09-11/15','11/16-11/22','11/23-11/29','11/30-12/06'
西港區,劉厝里,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
東區,東安里,0,0,0,1,2,12,7,14,13,0,1,3,3,1,0,1,1,0
歸仁區,大廟里,0,0,0,1,0,2,3,2,0,2,1,1,2,0,0,0,0,0
東區,文聖里,0,0,0,2,1,4,0,1,1,2,0,0,0,2,0,0,0,1
左鎮區,光和里,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
東區,復興里,0,0,0,1,0,3,1,3,2,4,6,3,1,4,1,0,0,0
仁德區,仁德里,0,0,0,1,3,5,13,6,6,3,2,2,2,2,3,0,0,0
東區,德光里,0,0,0,1,0,6,10,11,17,7,4,5,4,0,0,1,0,0
南區,荔宅里,0,0,0,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0
柳營區,八翁里,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
新化區,崙頂里,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0
歸仁區,許厝里,0,0,0,1,2,0,2,2,2,1,3,3,7,5,2,0,1,3
下營區,賀建里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
仁德區,土庫里,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
北區,安民里,0,0,0,1,3,8,9,9,9,10,5,3,2,1,0,0,2,1
南區,喜東里,0,0,0,0,3,3,4,8,3,0,3,1,3,0,0,0,0,0
安南區,東和里,0,0,0,0,1,1,2,1,0,1,0,0,0,1,1,1,0,0
安南區,鹽田里,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0
中西區,仙草里,0,0,0,0,6,15,16,13,13,14,14,3,1,3,0,1,0,0
佳里區,安西里,0,0,0,0,3,2,6,4,2,0,0,2,1,0,0,0,0,0
佳里區,六安里,0,0,0,0,2,0,1,3,0,1,0,1,0,0,0,0,0,0
學甲區,新達里,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
歸仁區,崙頂里,0,0,0,0,1,1,0,1,1,0,1,2,0,1,4,0,0,1
永康區,新樹里,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
安定區,新吉里,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0
新營區,興安里,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
關廟區,香洋里,0,0,0,0,1,0,3,2,2,1,2,2,1,0,0,0,0,1
永康區,東灣里,0,0,0,0,2,1,0,3,3,0,1,1,0,0,0,0,0,0
佳里區,佳化里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
南區,大成里,0,0,0,0,4,5,9,16,5,3,1,1,2,1,0,0,0,0
新市區,新和里,0,0,0,0,1,1,3,1,2,3,2,1,1,0,0,0,0,0
南區,佛壇里,0,0,0,0,2,3,3,3,1,1,0,0,0,1,0,1,0,0
永康區,神洲里,0,0,0,0,2,1,4,4,1,1,0,0,0,0,0,0,0,0
玉井區,玉田里,0,0,0,0,1,0,0,0,1,2,1,4,17,6,3,1,0,0
仁德區,保安里,0,0,0,0,2,3,0,3,2,1,1,1,1,1,0,0,0,0
柳營區,光福里,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
楠西區,鹿田里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
安平區,億載里,0,0,0,0,4,5,3,4,2,0,2,0,0,3,1,0,0,0
中西區,小西里,0,0,0,0,1,5,8,20,5,2,3,1,0,0,0,0,0,0
麻豆區,東角里,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0
南區,松安里,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0
仁德區,上崙里,0,0,0,0,1,3,2,3,2,1,1,2,2,0,0,0,1,0
安定區,中沙里,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
關廟區,東勢里,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0
新營區,民權里,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
楠西區,油車里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
學甲區,仁得里,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0
鹽水區,水正里,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
下營區,開化里,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
七股區,中寮里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
官田區,官田里,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
安南區,淵中里,0,0,0,0,1,2,2,6,3,6,3,0,0,0,0,0,0,0
新化區,豐榮里,0,0,0,0,3,2,1,0,3,2,0,1,0,0,0,1,0,1
中西區,永華里,0,0,0,0,2,5,8,27,15,9,3,1,0,0,0,0,0,0
玉井區,望明里,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
左鎮區,榮和里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
新營區,新北里,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
南區,大林里,0,0,0,0,1,4,4,12,7,5,1,1,2,0,0,0,0,1
西港區,慶安里,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
善化區,胡家里,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
安南區,城北里,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0
新營區,新南里,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
中西區,青年里,0,0,0,0,2,5,10,19,6,5,4,1,1,1,1,0,0,1
仁德區,大甲里,0,0,0,0,2,1,1,2,1,2,0,0,0,0,0,1,0,0
七股區,篤加里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
新市區,大營里,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
東區,大福里,0,0,0,0,1,2,8,13,15,7,6,8,3,1,3,1,2,0
東區,崇德里,0,0,0,0,1,4,8,13,7,4,7,5,4,4,8,3,3,2
南區,喜南里,0,0,0,0,1,1,1,1,4,2,1,0,1,2,2,0,1,0
七股區,看坪里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
安南區,鹿耳里,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
安南區,南興里,0,0,0,0,1,2,2,5,2,0,0,0,0,0,0,0,0,0
新營區,三仙里,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
永康區,建國里,0,0,0,0,1,1,1,5,1,0,2,1,0,2,1,0,0,0
安南區,城中里,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
新營區,永生里,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0
麻豆區,新建里,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
佳里區,禮化里,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
柳營區,人和里,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
下營區,後街里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
麻豆區,晉江里,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0
新化區,知義里,0,0,0,0,1,0,1,2,0,1,2,1,1,0,1,1,1,0
歸仁區,南興里,0,0,0,0,1,1,0,2,1,0,1,0,2,0,0,0,0,0
歸仁區,八甲里,0,0,0,0,1,0,0,2,0,1,1,0,2,0,0,1,0,0
善化區,溪美里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
鹽水區,橋南里,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0
安平區,漁光里,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0
中西區,開山里,0,0,0,0,0,4,8,16,18,7,10,2,0,0,0,1,0,0
安南區,四草里,0,0,0,0,0,3,2,0,2,0,0,0,2,0,0,0,0,0
東區,崇成里,0,0,0,0,0,1,2,8,8,9,3,10,2,2,5,2,0,0
官田區,大崎里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
大內區,二溪里,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
官田區,渡頭里,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
歸仁區,大潭里,0,0,0,0,0,2,3,3,3,3,3,0,0,0,0,0,0,1
麻豆區,油車里,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0
南區,明德里,0,0,0,0,0,3,1,3,0,1,0,1,0,0,0,0,0,0
安定區,中榮里,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
新營區,民生里,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
東區,崇學里,0,0,0,0,0,6,12,7,2,2,2,5,3,1,2,2,0,0
善化區,六分里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
官田區,湖山里,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
學甲區,三慶里,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
新營區,忠政里,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
六甲區,甲東里,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
新化區,中央里,0,0,0,0,0,1,0,1,6,2,2,3,4,0,0,0,0,0
善化區,小新里,0,0,0,0,0,2,2,4,1,1,0,3,1,0,0,0,0,0
七股區,大寮里,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
新營區,王公里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
關廟區,關廟里,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
大內區,石城里,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
麻豆區,穀興里,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
歸仁區,看東里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
將軍區,嘉昌里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
學甲區,中洲里,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
新化區,協興里,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,2,0
歸仁區,沙崙里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
柳營區,篤農里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
麻豆區,龍泉里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
中西區,五妃里,0,0,0,0,0,3,2,4,1,4,2,1,3,0,0,0,0,0
玉井區,玉井里,0,0,0,0,0,1,0,0,0,0,1,2,2,5,4,0,0,0
新化區,那拔里,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
永康區,大灣里,0,0,0,0,0,1,1,1,5,4,5,0,0,0,0,1,0,0
左鎮區,內庄里,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
歸仁區,武東里,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0
新市區,新市里,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0
六甲區,七甲里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
安南區,砂崙里,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
歸仁區,新厝里,0,0,0,0,0,1,0,3,2,1,0,0,3,1,3,2,0,0
安定區,蘇厝里,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
安南區,顯宮里,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
七股區,玉成里,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
歸仁區,七甲里,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0
新營區,興業里,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
南化區,南化里,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
左鎮區,岡林里,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
後壁區,竹新里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
六甲區,龜港里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
學甲區,慈福里,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
後壁區,仕安里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新市區,豊華里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
山上區,玉峰里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
麻豆區,安業里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
麻豆區,保安里,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
歸仁區,後市里,0,0,0,0,0,0,2,4,1,0,0,0,2,0,0,0,0,0
將軍區,鯤溟里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
歸仁區,文化里,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
柳營區,大農里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
白河區,仙草里,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
大內區,頭社里,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
新市區,社內里,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
鹽水區,岸內里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
歸仁區,歸仁里,0,0,0,0,0,0,2,1,2,0,3,0,3,6,1,0,1,1
關廟區,田中里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
南化區,玉山里,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
善化區,嘉南里,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
佳里區,嘉福里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
關廟區,埤頭里,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
大內區,石湖里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
將軍區,廣山里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
仁德區,田厝里,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
麻豆區,大埕里,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
鹽水區,下中里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新化區,唪口里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
關廟區,北花里,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
麻豆區,磚井里,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
安定區,管寮里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
仁德區,三甲里,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,0,0
六甲區,水林里,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
新市區,潭頂里,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
七股區,十份里,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
左鎮區,二寮里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
西港區,後營里,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
安定區,六嘉里,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
關廟區,布袋里,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
西港區,南海里,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新市區,港墘里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
歸仁區,辜厝里,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,0
南區,華平里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
南區,安海里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
永康區,天后里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
後壁區,長安里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大內區,內江里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
官田區,東庄里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
南區,民生里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
關廟區,五甲里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
下營區,仁里里,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0
善化區,文正里,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
麻豆區,中興里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
西港區,新富里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
歸仁區,永福里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
鹽水區,歡雅里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
下營區,西連里,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
北區,永福里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
善化區,坐駕里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
南區,大同里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
龍崎區,大坪里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
七股區,大潭里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
楠西區,楠西里,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
西港區,西港里,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
北區,銀同里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新化區,竹林里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
中西區,明興里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
白河區,廣安里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
佳里區,子龍里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新營區,護鎮里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
安定區,大同里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
仁德區,中生里,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
玉井區,中正里,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
六甲區,二甲里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
玉井區,竹圍里,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0
麻豆區,謝安里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
安南區,西東里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
新化區,山腳里,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
新化區,礁坑里,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
山上區,新莊里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
新營區,鐵線里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
新化區,清水里,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
玉井區,豐里里,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
新營區,太北里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
新化區,羊林里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
關廟區,山西里,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
柳營區,重溪里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
將軍區,長沙里,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
柳營區,旭山里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
新化區,觀音里,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
官田區,隆田里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
七股區,大埕里,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
佳里區,海澄里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
安南區,公塭里,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
七股區,樹林里,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
白河區,內角里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
麻豆區,大山里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
七股區,永吉里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
鹽水區,汫水里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
下營區,營前里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
後壁區,頂安里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
柳營區,神農里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
左鎮區,中正里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
後壁區,菁豊里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
麻豆區,小埤里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
新營區,太南里,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
安定區,南安里,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
南化區,小崙里,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
大內區,環湖里,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
安定區,安定里,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
下營區,新興里,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
佳里區,民安里,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新化區,大坑里,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1
官田區,西庄里,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
安南區,文平里,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
新化區,護國里,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
關廟區,松腳里,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
玉井區,沙田里,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
南    區,金華里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
東山區,聖賢里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
西港區,金砂里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
龍崎區,土崎里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
東山區,東山里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
新市區,大洲里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
仁德區,德洋里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
關廟區,深坑里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
玉井區,三和里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
關廟區,龜洞里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
安定區,港尾里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
龍崎區,牛埔里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
白河區,關嶺里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
後壁區,育平里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
後壁區,後壁里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
關廟區,南花里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
麻豆區,總榮里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
北    區,國姓里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
龍崎區,崎頂里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
麻豆區,港尾里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
安平區,安平里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南化區,北平里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南    區,新生里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
