區別,里別,'10/01-10/07','10/08-10/14','10/15-10/21','10/22-10/28','10/29-11/04','11/05-11/11','11/12-11/18','11/19-11/25','11/26-12/02','12/03-12/09','12/10-12/16','12/17-12/23','12/24-12/30','12/31-01/06','01/07-01/13','01/14-01/20','01/21-01/27','01/28-02/03','02/04-02/10'
梓官區,中崙里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林園區,王公里,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
三民區,寶盛里,0,9,2,4,5,7,5,9,3,1,3,0,0,0,0,0,0,0,0
鳳山區,文德里,0,1,5,8,6,2,2,6,3,7,4,1,2,0,1,0,1,0,0
前金區,草江里,0,1,1,2,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0
鳳山區,誠義里,0,1,1,1,0,2,0,3,1,0,0,1,0,0,0,1,0,0,0
左營區,廟北里,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
鹽埕區,博愛里,0,2,0,1,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0
茄萣區,福德里,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,日中里,1,2,0,1,2,3,2,3,2,4,10,1,5,3,0,0,0,0,0
仁武區,考潭里,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
大社區,保社里,2,2,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0
湖內區,大湖里,2,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
楠梓區,國昌里,0,0,0,1,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0
前金區,社東里,0,3,0,0,6,4,1,4,1,0,0,0,0,0,0,0,0,0,0
三民區,寶安里,3,2,3,5,2,5,4,7,5,0,1,2,2,3,0,0,0,0,0
苓雅區,林靖里,0,0,0,0,0,0,1,3,3,1,1,2,0,1,0,0,0,0,0
三民區,本文里,0,1,2,2,4,5,2,3,2,1,0,0,0,0,0,0,0,0,0
楠梓區,五常里,0,1,0,0,1,2,3,2,0,0,2,0,0,0,0,0,0,0,0
阿蓮區,石安里,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
鳳山區,文山里,0,0,2,0,1,4,3,4,0,1,3,0,1,1,0,0,0,0,0
三民區,寶珠里,17,15,22,13,16,10,7,19,17,7,1,3,1,0,0,0,0,0,0
苓雅區,福南里,0,1,2,1,5,4,3,8,7,10,3,3,2,0,0,0,0,0,0
苓雅區,林華里,2,2,3,5,8,2,8,7,2,3,2,1,0,0,0,0,0,0,0
大寮區,會社里,0,0,0,0,0,2,2,0,3,2,1,0,1,1,1,0,0,0,0
鼓山區,樹德里,4,1,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0
前金區,長城里,4,1,2,4,7,1,0,0,4,2,0,0,0,0,1,1,0,0,0
鳳山區,新強里,0,0,2,4,2,6,6,8,12,2,1,0,0,0,0,0,0,1,0
茄萣區,和協里,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳳山區,中和里,3,5,2,3,4,2,2,3,4,3,1,1,0,0,0,0,0,0,0
鹽埕區,教仁里,2,0,2,3,0,1,1,3,0,3,1,0,0,0,0,0,0,0,0
林園區,頂厝里,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
左營區,崇實里,1,0,1,0,2,0,2,2,1,1,0,1,1,0,0,0,0,0,0
苓雅區,正心里,0,0,1,1,2,3,3,8,3,6,3,1,2,1,0,0,0,0,0
路竹區,甲北里,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
湖內區,海埔里,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前鎮區,忠孝里,4,4,6,3,3,2,3,6,10,0,4,0,1,0,0,0,0,0,0
旗山區,湄洲里,0,0,1,0,0,1,4,9,1,2,2,0,0,1,0,1,0,0,0
鼓山區,裕豐里,3,9,2,9,3,4,6,3,2,0,1,0,0,0,0,1,0,0,0
大樹區,久堂里,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
大寮區,會結里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
苓雅區,凱旋里,0,0,0,1,6,2,8,7,3,3,0,0,2,0,0,0,0,0,0
前金區,長生里,0,1,2,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0
鳳山區,國泰里,0,1,0,0,1,1,0,3,5,7,3,3,0,1,0,0,0,0,0
橋頭區,甲南里,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
楠梓區,加昌里,2,1,0,0,1,0,3,6,1,2,0,1,1,1,0,0,0,0,0
湖內區,湖東里,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新興區,浩然里,1,3,2,0,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0
岡山區,大遼里,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
前金區,三川里,0,3,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
鼓山區,龍子里,2,3,2,2,7,9,15,6,12,6,4,2,3,2,3,0,0,0,0
左營區,聖西里,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
旗津區,中洲里,2,4,5,2,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0
鳳山區,天興里,0,0,2,3,2,7,12,15,14,4,4,1,0,0,0,0,0,0,0
鳳山區,武漢里,0,2,1,2,9,12,11,22,5,2,2,3,1,1,1,0,0,0,0
茄萣區,崎漏里,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
鳳山區,新富里,0,0,0,3,0,1,4,4,3,1,0,1,0,0,0,0,0,0,0
苓雅區,福海里,1,0,1,0,2,0,1,1,1,0,0,0,0,3,2,0,0,0,0
前鎮區,興東里,1,1,8,9,9,2,22,10,11,6,5,2,0,0,2,0,1,0,0
岡山區,灣裡里,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
鳳山區,新甲里,2,0,3,0,7,1,4,6,1,4,3,2,1,0,0,0,0,0,0
三民區,德西里,0,1,2,1,1,3,2,1,2,0,1,0,0,0,0,0,0,0,0
新興區,興昌里,2,1,2,2,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0
茄萣區,嘉福里,3,1,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
茄萣區,保定里,8,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0
鼓山區,前峰里,2,3,1,0,4,4,2,6,4,3,3,0,0,0,0,0,0,0,0
三民區,博惠里,4,4,3,3,7,10,14,12,7,1,3,2,1,0,0,0,0,0,0
苓雅區,福隆里,1,2,1,3,5,15,19,11,6,1,4,1,3,1,1,0,0,0,0
鳳山區,南成里,1,1,2,10,15,33,26,14,14,5,2,1,3,1,0,0,0,0,0
前鎮區,興邦里,0,1,1,0,1,3,4,5,2,4,2,0,0,2,0,0,0,0,0
小港區,青島里,0,0,0,1,1,1,4,2,0,8,0,1,0,0,0,0,0,0,0
旗山區,大德里,0,2,4,2,3,2,2,3,0,1,4,0,0,1,0,0,0,0,0
鹽埕區,中山里,0,0,0,1,1,0,0,1,4,2,0,1,1,0,0,0,0,0,0
前金區,新生里,2,0,6,2,2,3,7,5,1,0,0,0,0,0,0,0,0,0,0
新興區,建興里,7,4,3,1,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0
鳳山區,一甲里,0,0,2,4,3,5,11,5,4,7,5,1,0,0,0,0,0,0,0
鳥松區,仁美里,0,0,1,0,1,2,2,2,2,1,3,2,0,0,0,0,0,0,0
新興區,開平里,1,4,1,1,3,0,3,7,2,0,2,0,0,0,0,0,0,0,0
三民區,安寧里,3,4,5,6,3,5,2,1,4,0,0,0,0,0,0,0,0,0,0
新興區,蕉園里,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
梓官區,梓信里,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
小港區,港南里,0,0,0,1,0,5,1,0,2,1,1,1,0,0,0,0,0,0,0
鳳山區,保安里,2,0,0,3,0,4,3,1,4,1,2,3,0,1,0,0,0,0,0
楠梓區,中陽里,0,0,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
鳳山區,富甲里,1,2,3,6,6,5,12,8,3,3,1,2,1,0,0,0,0,0,0
旗山區,南勝里,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
三民區,十全里,0,0,0,0,1,2,2,1,1,0,3,0,1,2,1,0,0,0,0
苓雅區,林泉里,0,0,0,1,0,0,1,2,0,4,0,0,0,1,0,0,0,0,0
前鎮區,竹北里,1,1,4,0,4,2,10,10,7,1,1,1,0,1,0,1,0,0,0
前鎮區,忠純里,1,1,1,6,4,5,13,14,2,7,4,0,0,1,0,1,0,0,0
前鎮區,盛興里,3,7,0,4,4,3,4,3,6,4,0,0,1,0,0,0,0,0,0
左營區,合群里,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
仁武區,五和里,0,0,2,0,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0
苓雅區,衛武里,0,0,0,1,1,4,1,2,1,2,0,1,1,1,0,0,0,0,0
三民區,寶中里,4,2,5,4,7,2,2,3,8,2,3,1,1,1,0,1,0,0,0
小港區,松金里,0,1,0,0,2,0,0,3,1,3,0,0,1,0,0,0,0,1,0
楠梓區,廣昌里,2,2,0,0,4,1,4,6,3,4,1,2,1,0,0,0,0,0,0
鳳山區,誠德里,0,0,0,0,0,0,1,1,0,3,1,0,0,1,0,3,0,0,0
鳳山區,武松里,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
仁武區,仁和里,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
前鎮區,瑞祥里,0,3,2,4,4,2,5,6,11,5,1,4,1,4,0,1,0,0,0
鳳山區,正義里,0,4,6,5,13,21,34,31,18,4,4,3,0,1,0,0,0,0,0
前鎮區,明禮里,2,1,4,4,8,0,6,0,2,3,0,1,0,0,0,0,0,0,0
前鎮區,瑞華里,0,5,6,0,4,3,9,12,0,0,2,3,1,1,0,2,0,0,0
岡山區,仁壽里,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
茄萣區,光定里,3,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
三民區,灣勝里,1,5,6,5,4,5,6,6,2,5,0,0,0,0,0,0,0,0,0
大寮區,上寮里,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
茄萣區,吉定里,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
茄萣區,嘉定里,6,1,2,2,1,7,3,1,1,0,0,0,0,0,0,0,0,0,0
岡山區,竹圍里,0,1,0,1,0,1,1,2,0,1,2,2,1,0,2,0,0,0,0
三民區,長明里,0,0,1,2,1,3,6,4,3,1,2,0,1,0,0,0,0,0,0
路竹區,文北里,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梓官區,智蚵里,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
小港區,正苓里,0,1,4,2,0,4,7,3,2,0,0,1,2,1,0,0,0,0,0
新興區,順昌里,1,0,0,1,2,0,4,7,14,3,5,3,3,0,0,1,0,0,0
前鎮區,竹中里,3,1,0,5,7,14,16,21,12,2,0,1,0,0,0,0,0,0,0
左營區,聖后里,2,0,0,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
仁武區,後安里,0,0,0,1,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0
前鎮區,興中里,3,3,4,3,3,11,12,8,13,4,3,0,0,1,0,0,0,0,0
小港區,廈莊里,0,0,1,0,1,2,4,2,1,1,1,0,2,0,0,1,0,1,1
前鎮區,復國里,13,8,3,10,3,6,4,11,9,3,2,3,1,1,1,0,0,0,0
三民區,寶民里,0,2,2,5,8,4,10,4,5,0,0,0,0,0,0,0,0,1,0
梓官區,赤崁里,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
前鎮區,瑞崗里,0,0,2,1,0,4,4,3,3,3,5,2,1,0,0,0,0,0,0
苓雅區,仁政里,0,0,0,1,2,0,1,3,0,2,0,0,1,0,0,0,0,0,0
湖內區,湖內里,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
三民區,裕民里,0,2,0,3,3,0,2,1,3,2,0,3,0,0,0,0,0,0,0
三民區,鳳南里,0,1,5,4,4,4,2,2,3,1,1,0,1,0,0,0,0,0,0
鳳山區,武慶里,0,0,0,2,4,3,10,7,4,2,0,1,1,0,0,1,0,0,0
鳳山區,文衡里,0,0,1,1,0,3,1,0,1,2,3,1,0,2,0,0,0,0,0
新興區,仁聲里,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0
大寮區,永芳里,0,2,0,1,1,3,3,0,1,6,1,3,0,1,0,0,0,0,0
前鎮區,平昌里,0,0,0,0,0,1,5,2,3,0,1,0,2,1,0,0,2,0,0
鼓山區,龍井里,0,2,1,0,0,2,2,3,0,3,1,0,0,0,0,0,0,0,0
茄萣區,嘉安里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿蓮區,復安里,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
前鎮區,仁愛里,1,2,5,2,10,3,5,4,3,1,3,0,1,0,1,1,0,0,0
小港區,山明里,1,0,1,2,3,6,16,24,16,9,4,5,6,1,1,0,0,0,0
左營區,埤北里,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
大樹區,水安里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三民區,灣愛里,1,0,4,8,14,10,2,1,0,3,0,0,0,0,0,0,0,0,0
苓雅區,福壽里,1,0,0,3,11,6,2,1,3,4,2,0,0,1,1,0,0,0,0
鹽埕區,壽星里,0,0,1,1,2,5,1,1,1,0,0,3,3,0,0,1,0,0,0
鼓山區,鼓峰里,3,3,2,10,8,4,0,2,1,0,0,1,0,0,0,0,0,0,0
前鎮區,信德里,0,0,0,1,2,4,9,4,4,4,0,6,0,0,0,0,0,0,0
三民區,港新里,0,2,0,0,1,1,3,1,6,5,4,1,1,1,0,0,0,0,0
三民區,安康里,0,3,2,0,5,1,7,8,3,1,0,1,2,0,0,0,0,1,0
苓雅區,苓東里,2,1,2,2,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0
鳳山區,新武里,1,2,2,3,3,2,1,4,4,2,4,2,2,1,0,0,0,0,0
小港區,港明里,0,0,2,1,16,8,20,6,4,3,3,2,0,0,0,0,0,0,0
前鎮區,瑞興里,1,0,4,4,1,0,1,4,3,4,1,2,1,0,0,0,0,0,0
三民區,豐裕里,0,2,4,1,3,0,3,7,4,2,2,1,0,0,0,0,0,0,0
阿蓮區,阿蓮里,0,2,2,3,6,4,2,1,0,0,1,0,0,0,0,0,0,0,0
林園區,林園里,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0
燕巢區,瓊林里,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
彌陀區,海尾里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
左營區,進學里,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
三民區,灣復里,1,3,6,11,10,9,15,17,5,6,2,3,1,0,0,0,0,0,0
新興區,成功里,0,0,1,0,0,1,0,2,2,4,2,0,0,0,0,0,0,0,0
仁武區,大灣里,1,2,2,0,1,2,1,2,1,2,2,0,0,0,0,0,0,0,0
三民區,寶泰里,3,1,0,1,4,2,4,5,5,3,2,1,0,2,0,0,0,0,0
鼓山區,裕興里,0,1,2,4,11,11,8,15,5,1,2,0,0,0,1,0,0,0,0
三民區,民享里,3,12,14,12,8,7,10,4,3,1,1,3,2,0,1,0,0,0,0
苓雅區,正文里,0,1,1,3,1,2,2,5,2,0,0,0,1,0,0,0,0,0,0
新興區,大明里,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0
三民區,千秋里,1,5,1,1,2,5,10,10,3,5,0,0,0,1,0,0,0,0,0
大寮區,翁園里,0,0,1,0,2,1,1,1,1,2,1,1,1,0,0,0,2,0,0
三民區,達德里,0,0,0,1,0,2,0,2,8,4,2,0,0,0,0,0,0,0,0
林園區,溪州里,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
新興區,中東里,1,1,0,0,1,1,2,4,0,2,1,4,0,0,0,0,0,0,0
前鎮區,鎮中里,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
鳳山區,中崙里,0,1,2,0,4,3,0,3,2,0,0,0,0,1,0,0,0,0,0
大寮區,拷潭里,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
苓雅區,林中里,1,0,2,9,8,5,15,5,5,0,2,1,0,0,0,0,0,0,0
前鎮區,西山里,2,1,3,6,10,19,10,9,2,4,5,0,2,0,0,0,0,0,0
前金區,後金里,1,2,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,民主里,3,4,5,3,6,2,5,5,1,4,3,1,1,0,0,0,0,0,0
三民區,千北里,0,0,1,0,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0
苓雅區,五福里,0,4,6,5,8,3,7,3,2,2,0,1,0,1,1,0,0,0,0
小港區,港口里,0,0,1,0,0,3,2,1,0,0,4,2,3,1,0,0,0,0,0
新興區,永寧里,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
苓雅區,和煦里,1,2,2,0,0,2,3,1,1,3,0,1,1,0,0,0,0,0,0
彌陀區,南寮里,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前金區,復元里,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
小港區,山東里,3,5,0,1,2,4,2,2,2,1,0,2,0,1,0,2,0,0,0
大社區,三奶里,0,2,0,1,2,2,2,5,1,6,0,1,0,1,0,0,0,0,0
鳳山區,興仁里,2,1,0,1,0,0,3,2,1,4,1,2,0,0,1,0,0,0,0
苓雅區,林興里,2,1,2,3,4,1,2,4,0,3,3,1,0,0,0,0,0,0,0
鳳山區,東門里,0,0,0,1,1,0,4,1,1,4,3,0,1,0,0,1,0,0,0
苓雅區,福人里,1,2,1,6,2,2,7,4,5,0,0,1,1,1,0,0,0,0,0
梓官區,茄苳里,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
鼓山區,正德里,0,1,3,3,8,8,7,3,2,0,0,0,0,0,0,0,0,0,0
苓雅區,福祥里,0,2,4,2,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0
內門區,三平里,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
小港區,港正里,1,0,0,0,1,0,5,2,2,2,1,5,3,0,4,0,0,0,0
三民區,灣中里,0,4,4,3,10,11,9,11,9,9,1,1,2,2,1,0,0,0,0
旗津區,中興里,13,4,3,3,3,0,1,8,0,0,0,0,0,1,0,0,0,0,0
內門區,觀亭里,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
前鎮區,良和里,0,1,2,1,3,9,5,5,5,1,0,1,0,1,0,0,0,0,0
三民區,灣興里,1,3,2,15,4,5,1,5,0,1,2,1,0,0,0,1,0,0,0
旗山區,圓富里,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
左營區,聖南里,1,1,6,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
阿蓮區,和蓮里,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
左營區,祥和里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,苓雅里,4,2,1,0,2,1,1,1,3,1,0,1,0,0,0,0,0,0,0
楠梓區,福昌里,0,0,1,0,1,2,8,1,3,2,1,0,0,0,0,0,0,0,0
湖內區,文賢里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前金區,林投里,0,1,0,0,0,1,4,3,1,1,0,1,0,0,0,0,0,0,0
鼓山區,惠安里,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0
鳳山區,五福里,1,1,2,3,4,11,30,18,10,9,3,2,2,1,0,0,1,0,0
前鎮區,盛豐里,1,8,3,4,6,3,14,4,7,8,2,4,1,0,0,1,0,0,0
旗山區,竹峰里,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
小港區,港后里,0,1,0,3,3,1,1,3,3,4,4,2,1,0,0,1,0,0,0
鼓山區,光化里,2,1,0,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0
橋頭區,筆秀里,0,0,2,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0
苓雅區,林南里,0,2,1,2,1,4,0,3,1,2,1,1,2,1,0,0,0,0,0
前鎮區,瑞誠里,0,4,2,1,2,5,6,7,3,2,1,2,1,0,0,0,0,0,0
三民區,達仁里,1,1,1,2,3,0,3,4,2,3,5,6,0,1,0,0,1,0,0
左營區,廍北里,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
小港區,桂林里,0,0,0,1,4,2,10,12,6,7,3,8,2,1,1,1,0,0,0
新興區,南港里,0,1,0,1,9,6,3,4,7,3,0,1,0,1,0,0,0,0,0
前金區,民生里,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
大寮區,中庄里,2,1,1,5,3,6,4,5,9,0,0,0,2,3,1,1,1,2,1
新興區,秋山里,0,1,2,1,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0
林園區,仁愛里,1,0,0,0,0,0,0,1,3,1,0,0,0,2,0,0,0,1,0
苓雅區,華堂里,1,0,3,2,2,3,2,7,2,3,2,0,2,2,2,0,0,0,0
鹽埕區,新豐里,1,0,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0
旗津區,北汕里,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
楠梓區,中興里,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
鼓山區,峰南里,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
新興區,建華里,0,0,2,1,0,0,1,3,1,2,0,1,0,0,0,1,0,0,0
鳳山區,忠誠里,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
小港區,鳳森里,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
大社區,中里里,3,2,1,3,3,1,3,6,0,1,1,1,1,3,0,0,0,0,0
岡山區,嘉峰里,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0
橋頭區,白樹里,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
阿蓮區,中路里,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
左營區,果貿里,2,1,1,4,6,3,9,6,2,2,1,0,1,0,0,0,0,0,0
鼓山區,麗興里,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
大寮區,義和里,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
鳳山區,新樂里,0,1,4,5,11,10,8,10,8,2,1,0,0,0,0,0,0,0,0
小港區,小港里,1,0,0,0,2,0,4,1,2,0,0,3,0,1,0,0,0,0,0
鳳山區,國隆里,1,0,0,2,2,2,1,5,3,3,0,1,1,1,1,0,0,0,0
小港區,宏亮里,0,0,0,3,3,0,3,4,2,2,0,1,1,0,0,0,0,0,0
苓雅區,人和里,3,0,4,4,7,2,7,2,1,1,2,0,0,0,0,0,1,0,0
小港區,大苓里,1,0,4,0,0,2,6,6,1,2,1,1,1,0,0,0,0,0,0
苓雅區,美田里,1,1,1,1,0,1,3,1,0,0,0,1,1,2,0,0,0,0,0
鳳山區,富榮里,0,0,1,2,3,1,4,6,5,1,2,0,1,0,0,0,1,0,0
前鎮區,信義里,1,0,1,2,4,1,2,1,4,2,4,0,0,0,0,0,0,0,0
鼓山區,綠川里,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
小港區,濟南里,0,0,0,1,1,2,0,5,0,5,1,1,0,0,2,0,0,0,0
鼓山區,興宗里,1,1,0,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0
楠梓區,享平里,0,1,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0
新興區,長驛里,3,5,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
路竹區,下坑里,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
左營區,路東里,2,1,0,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
鳳山區,誠智里,2,0,0,0,1,1,0,2,1,2,2,0,1,0,0,0,1,0,0
苓雅區,英明里,1,0,1,3,3,3,11,22,4,4,2,0,2,2,0,0,0,0,0
三民區,德仁里,1,0,1,2,3,2,3,2,4,4,1,1,1,0,1,0,0,0,0
鼓山區,維生里,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
阿蓮區,玉庫里,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
旗津區,永安里,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
小港區,松山里,1,3,0,0,0,0,1,5,1,2,2,0,0,0,0,0,0,0,0
前鎮區,瑞西里,1,0,1,3,4,2,4,5,3,2,1,1,0,1,0,0,0,0,0
新興區,光耀里,2,3,2,0,1,0,0,2,1,2,1,2,0,0,0,0,0,0,0
三民區,精華里,1,2,3,8,6,6,7,7,1,0,3,0,0,0,0,0,0,0,0
前鎮區,西甲里,1,2,11,9,3,9,6,6,3,5,3,1,1,0,0,0,0,0,0
前鎮區,瑞南里,1,1,0,1,2,1,5,16,7,6,2,4,3,1,0,0,0,0,0
岡山區,白米里,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大寮區,中興里,1,1,2,0,1,2,0,2,1,3,1,3,7,3,4,3,0,0,0
苓雅區,同慶里,1,1,2,2,3,5,5,9,8,4,2,0,1,0,0,0,0,0,0
鹽埕區,中原里,2,1,0,1,3,0,0,0,1,2,0,2,0,0,1,1,0,0,0
岡山區,協和里,4,0,2,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0
苓雅區,苓中里,3,1,4,2,0,0,4,2,1,6,0,0,0,0,0,0,0,0,0
鹽埕區,南端里,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
岡山區,維仁里,3,3,3,4,3,1,4,1,2,1,1,0,0,0,0,0,0,0,0
小港區,孔宅里,1,2,0,1,1,1,0,3,0,1,1,0,0,1,0,0,0,0,0
前金區,文西里,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
新興區,漢民里,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
湖內區,田尾里,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,林安里,6,31,7,2,1,1,0,2,2,5,1,0,0,0,0,0,0,0,0
鳳山區,北門里,1,0,2,2,1,2,3,2,0,0,3,1,0,2,0,0,0,0,0
苓雅區,苓昇里,2,6,4,1,1,2,2,1,2,3,0,0,0,0,0,0,0,1,0
鹽埕區,河濱里,1,3,0,0,0,1,2,1,1,2,0,0,1,1,0,0,0,0,0
鳳山區,鳳崗里,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
燕巢區,尖山里,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
甲仙區,大田里,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
